
2024/12/06 (14:30:02) | ===> btop++ v.1.4.0
2024/12/06 (14:30:02) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/06 (15:54:50) | ===> btop++ v.1.4.0
2024/12/06 (15:54:50) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/09 (12:47:41) | ===> btop++ v.1.4.0
2024/12/09 (12:47:41) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/09 (22:44:56) | ===> btop++ v.1.4.0
2024/12/09 (22:44:56) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/10 (09:17:34) | ===> btop++ v.1.4.0
2024/12/10 (09:17:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/11 (10:00:12) | ===> btop++ v.1.4.0
2024/12/11 (10:00:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/12 (09:14:39) | ===> btop++ v.1.4.0
2024/12/12 (09:14:39) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/13 (10:16:24) | ===> btop++ v.1.4.0
2024/12/13 (10:16:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/16 (09:28:34) | ===> btop++ v.1.4.0
2024/12/16 (09:28:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/16 (11:58:39) | ===> btop++ v.1.4.0
2024/12/16 (11:58:39) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/17 (09:09:33) | ===> btop++ v.1.4.0
2024/12/17 (09:09:33) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/18 (13:55:39) | ===> btop++ v.1.4.0
2024/12/18 (13:55:39) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/19 (09:06:14) | ===> btop++ v.1.4.0
2024/12/19 (09:06:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/19 (09:11:27) | ===> btop++ v.1.4.0
2024/12/19 (09:11:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/20 (09:18:07) | ===> btop++ v.1.4.0
2024/12/20 (09:18:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/23 (21:29:24) | ===> btop++ v.1.4.0
2024/12/23 (21:29:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/24 (11:13:33) | ===> btop++ v.1.4.0
2024/12/24 (11:13:33) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/25 (10:51:24) | ===> btop++ v.1.4.0
2024/12/25 (10:51:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/26 (09:33:23) | ===> btop++ v.1.4.0
2024/12/26 (09:33:23) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/27 (09:48:34) | ===> btop++ v.1.4.0
2024/12/27 (09:48:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/02 (09:29:08) | ===> btop++ v.1.4.0
2025/01/02 (09:29:08) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/02 (10:57:42) | ===> btop++ v.1.4.0
2025/01/02 (10:57:42) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/03 (10:55:47) | ===> btop++ v.1.4.0
2025/01/03 (10:55:47) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/06 (09:42:48) | ===> btop++ v.1.4.0
2025/01/06 (09:42:48) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/06 (13:41:27) | ===> btop++ v.1.4.0
2025/01/06 (13:41:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/07 (09:29:08) | ===> btop++ v.1.4.0
2025/01/07 (09:29:08) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/07 (13:51:28) | ===> btop++ v.1.4.0
2025/01/07 (13:51:28) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/08 (11:32:22) | ===> btop++ v.1.4.0
2025/01/08 (11:32:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/09 (09:02:57) | ===> btop++ v.1.4.0
2025/01/09 (09:02:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/10 (09:44:19) | ===> btop++ v.1.4.0
2025/01/10 (09:44:19) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/13 (09:35:50) | ===> btop++ v.1.4.0
2025/01/13 (09:35:50) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/13 (10:58:34) | ===> btop++ v.1.4.0
2025/01/13 (10:58:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/14 (09:09:55) | ===> btop++ v.1.4.0
2025/01/14 (09:09:55) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/15 (10:25:55) | ===> btop++ v.1.4.0
2025/01/15 (10:25:55) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/15 (14:58:50) | ===> btop++ v.1.4.0
2025/01/15 (14:58:50) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/16 (08:50:28) | ===> btop++ v.1.4.0
2025/01/16 (08:50:28) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/17 (16:15:58) | ===> btop++ v.1.4.0
2025/01/17 (16:15:58) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/24 (08:56:18) | ===> btop++ v.1.4.0
2025/01/24 (08:56:18) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/24 (09:11:46) | ===> btop++ v.1.4.0
2025/01/24 (09:11:46) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/24 (10:57:58) | ===> btop++ v.1.4.0
2025/01/24 (10:57:58) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/24 (11:01:48) | ===> btop++ v.1.4.0
2025/01/24 (11:01:48) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/24 (17:09:11) | ===> btop++ v.1.4.0
2025/01/24 (17:09:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/24 (17:09:21) | ===> btop++ v.1.4.0
2025/01/24 (17:09:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/24 (17:09:28) | ===> btop++ v.1.4.0
2025/01/24 (17:09:28) | WARNING: NVML: Failed to get GPU power usage: Not Supported

